age,study_hours_per_week,previous_courses_completed,platform_visits_per_month,assignment_completion_rate,purchased_course
24,14,1,2,20,0
21,20,3,25,76,1
28,5,3,9,83,0
25,12,2,22,47,0
22,16,3,4,56,0
24,16,6,26,66,1
27,21,5,29,95,1
20,7,5,34,56,1
24,4,0,23,68,0
28,1,5,11,63,0
28,5,7,6,75,0
25,23,5,18,47,1
22,10,2,21,98,0
21,22,5,34,25,1
25,5,0,17,80,0
25,4,1,25,39,0
20,2,6,12,97,0
23,20,2,23,21,0
22,10,7,22,92,1
19,19,1,21,56,0
25,1,2,27,39,0
29,24,4,31,45,1
23,5,3,6,48,0
19,13,4,27,20,1
29,4,5,34,54,0
22,16,1,12,89,0
18,24,5,7,78,1
29,16,3,10,88,0
27,23,2,17,52,1
23,2,3,26,70,1
29,17,0,21,97,1
26,20,3,28,31,1
18,24,0,2,39,1
28,12,3,1,72,1
28,18,6,26,62,1
27,3,0,29,69,0
29,1,1,21,48,0
29,1,5,11,76,0
20,19,7,11,58,1
29,11,5,34,75,1
24,5,4,24,62,0
21,12,5,22,69,0
26,3,2,5,42,0
20,1,6,33,63,0
22,1,3,20,57,0
20,8,4,19,42,0
24,10,2,17,64,0
22,11,2,34,71,1
26,12,0,9,99,0
24,13,5,26,69,1
19,12,1,2,27,0
21,14,7,9,20,1
26,2,1,9,27,0
29,19,4,17,48,1
19,18,6,1,24,1
27,3,1,25,66,0
26,23,3,25,53,1
27,17,1,3,84,0
22,8,4,30,74,1
19,10,7,34,62,1
21,2,1,12,93,0
29,19,3,19,49,1
29,9,0,17,36,0
24,7,6,10,45,0
29,4,4,12,27,0
25,21,0,16,66,1
20,18,0,24,95,1
18,13,0,19,91,1
21,11,2,8,65,0
19,24,6,31,87,1
25,4,7,21,52,1
21,21,5,17,20,1
19,4,6,23,38,1
23,10,2,16,50,0
23,5,5,6,99,0
27,9,6,8,33,0
21,24,0,25,72,1
23,3,4,18,67,0
19,17,5,25,88,1
27,3,3,12,81,0
29,16,3,15,85,1
19,4,1,26,83,0
27,18,5,26,89,1
21,17,4,32,82,1
25,7,7,10,92,1
24,24,2,16,52,1
29,23,0,7,60,1
26,5,1,17,67,0
25,12,3,23,32,0
22,17,2,26,92,1
19,23,2,21,96,1
22,13,0,22,50,1
25,23,7,7,94,1
27,3,7,14,87,0
26,9,5,15,23,0
29,17,3,7,38,1
29,17,7,9,89,1
29,20,4,8,32,0
26,16,7,23,42,1
18,22,2,29,94,1
